IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.77.91,2096,2096,true,SIN,Asia Pacific,Singapore,274,0.00
47.236.79.77,80,80,false,SIN,Asia Pacific,Singapore,331,0.00
8.219.82.177,2095,2095,false,SIN,Asia Pacific,Singapore,270,0.00
8.222.182.10,2052,2052,false,SIN,Asia Pacific,Singapore,285,0.00
8.222.168.24,8080,8080,false,SIN,Asia Pacific,Singapore,273,0.00
8.219.124.227,2096,2096,true,SIN,Asia Pacific,Singapore,283,0.00
8.219.97.179,80,80,false,SIN,Asia Pacific,Singapore,274,0.00
8.222.167.8,2096,2096,true,SIN,Asia Pacific,Singapore,277,0.00
8.218.8.142,8080,8080,false,HKG,Asia Pacific,Hong Kong,54,0.00
8.222.145.164,2087,2087,true,SIN,Asia Pacific,Singapore,287,0.00
47.236.83.239,2052,2052,false,SIN,Asia Pacific,Singapore,332,0.00
8.219.124.227,2082,2082,false,SIN,Asia Pacific,Singapore,283,0.00
8.219.213.133,2096,2096,true,SIN,Asia Pacific,Singapore,322,0.00
8.222.167.8,2087,2087,true,SIN,Asia Pacific,Singapore,279,0.00
8.222.249.190,2082,2082,false,SIN,Asia Pacific,Singapore,281,0.00
8.222.147.203,8443,8443,true,SIN,Asia Pacific,Singapore,290,0.00
8.222.159.252,2087,2087,true,SIN,Asia Pacific,Singapore,275,0.00
8.222.153.11,2082,2082,false,SIN,Asia Pacific,Singapore,275,0.00
8.222.129.245,80,80,false,SIN,Asia Pacific,Singapore,276,0.00
8.222.180.86,8880,8880,false,SIN,Asia Pacific,Singapore,280,0.00
47.236.99.131,8443,8443,true,SIN,Asia Pacific,Singapore,332,0.00
47.236.99.131,2087,2087,true,SIN,Asia Pacific,Singapore,320,0.00
8.222.137.178,2096,2096,true,SIN,Asia Pacific,Singapore,276,0.00
8.222.249.98,2052,2052,false,SIN,Asia Pacific,Singapore,278,0.00
47.236.117.48,8880,8880,false,SIN,Asia Pacific,Singapore,328,0.00
47.245.94.144,80,80,false,SIN,Asia Pacific,Singapore,317,0.00
